"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
	But really what this relentless sort of energy and probably mild paranoia of always thinking about what's next and how we can obsess on the next great product and for us to be the first to deliver it for you.
	"So first and foremost, we have led a lot of our work on the consumer side and how we think about our revenue products with number one, making sure that people have visibility into what data we’re using and also control over it."
	"If you want to take about it in terms of point of sale, where are you seeing the strongest response to product?"
	And those same three priorities that we've focused on throughout fiscal year 2019 will be the same ones we continue to drive in fiscal year 2020.
	"Capital ended the quarter with a $109 billion of assets excluding liquidity, which is about flat versus prior quarter."
	"And then, and just -- is this retail apocalypse kind of causing companies in other industries Q1 to adopt Salesforce a little faster so that they don't get Amazon or uberized?"
	We continue to invest to foolproof -- future proof our technology and scale of our business globally.
	"Overall backlog of $18 billion was down 1% sequentially, but up 5% year-over-year."
	And with that I'll turn it back over to Larry.
	"So Bret, I'm sure you want to add to that as well."
	We remain confident in the fundamental strength of Twitter and believe we are focused on the right priorities across the company.
	"It could be some kind of device that delivers pizza to you, delivery bots."
	"Vivek Juneja You mean when you say conducting yourselves as in just the whole process of how it works, account closures et cetera or something else?"
	Loren Starr Yes.
	"So I'd say really it is – the $501 million is a number that we feel extremely confident that we'll be able to deliver through a variety, they are right now."
